,date,utm_source,users
535,2020-03-17,instagram_ads,66
536,2020-03-17,referal,28
537,2020-03-17,vk_ads,50
538,2020-03-17,yandex-direct,81
539,2020-03-18,-,250
540,2020-03-18,facebook_ads,97
541,2020-03-18,google_ads,194
542,2020-03-18,instagram_ads,168
543,2020-03-18,referal,74
544,2020-03-18,vk_ads,159
545,2020-03-18,yandex-direct,229
546,2020-03-19,-,326
547,2020-03-19,facebook_ads,118
548,2020-03-19,google_ads,222
549,2020-03-19,instagram_ads,190
550,2020-03-19,referal,86
551,2020-03-19,vk_ads,189
552,2020-03-19,yandex-direct,275
553,2020-03-20,-,281
554,2020-03-20,facebook_ads,126
555,2020-03-20,google_ads,228
556,2020-03-20,instagram_ads,197
557,2020-03-20,referal,100
558,2020-03-20,vk_ads,200
559,2020-03-20,yandex-direct,276
560,2020-03-21,-,251
561,2020-03-21,facebook_ads,119
562,2020-03-21,google_ads,193
563,2020-03-21,instagram_ads,164
564,2020-03-21,referal,73
565,2020-03-21,vk_ads,200
566,2020-03-21,yandex-direct,235
567,2020-03-22,-,254
568,2020-03-22,facebook_ads,135
569,2020-03-22,google_ads,221
570,2020-03-22,instagram_ads,159
571,2020-03-22,referal,72
572,2020-03-22,vk_ads,192
573,2020-03-22,yandex-direct,228
574,2020-03-23,-,361
575,2020-03-23,facebook_ads,139
576,2020-03-23,google_ads,331
577,2020-03-23,instagram_ads,225
578,2020-03-23,referal,93
579,2020-03-23,vk_ads,245
580,2020-03-23,yandex-direct,298
581,2020-03-24,-,382
582,2020-03-24,facebook_ads,166
583,2020-03-24,google_ads,316
584,2020-03-24,instagram_ads,238
585,2020-03-24,referal,104
586,2020-03-24,vk_ads,273
587,2020-03-24,yandex-direct,371
588,2020-03-25,-,362
589,2020-03-25,facebook_ads,161
590,2020-03-25,google_ads,334
591,2020-03-25,instagram_ads,243
592,2020-03-25,referal,104
593,2020-03-25,vk_ads,289
594,2020-03-25,yandex-direct,331
595,2020-03-26,-,279
596,2020-03-26,facebook_ads,130
597,2020-03-26,google_ads,230
598,2020-03-26,instagram_ads,187
599,2020-03-26,referal,75
600,2020-03-26,vk_ads,212
601,2020-03-26,yandex-direct,282
602,2020-03-27,-,272
603,2020-03-27,facebook_ads,99
604,2020-03-27,google_ads,177
605,2020-03-27,instagram_ads,162
606,2020-03-27,referal,84
607,2020-03-27,vk_ads,178
608,2020-03-27,yandex-direct,227
609,2020-03-28,-,232
610,2020-03-28,facebook_ads,88
611,2020-03-28,google_ads,163
